"TOA5","draker_prospector","CR1000","38934","CR1000.Std.25","CPU:prospector.CR1","13672","panelControl"
"TIMESTAMP","RECORD","pnl_control_modem_override","pnl_control_modem_disabled","pnl_control_heater_timer","pnl_control_daytime","pnl_control_sunrise","pnl_control_sunset","pnl_control_check_ntp","PortStatus","SW12Volts","Battery"
"TS","RN","Min","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2012-08-30 23:40:00",363,0,-1,50,0,0,0,0,-1,-1,12.83413
"2012-08-30 23:41:00",364,0,-1,49,0,0,0,0,-1,-1,12.82903
"2012-08-30 23:42:00",365,0,-1,48,0,0,0,0,-1,-1,12.82933
"2012-08-30 23:43:00",366,0,-1,47,0,0,0,0,-1,-1,12.82956
"2012-08-30 23:44:00",367,0,-1,46,0,0,0,0,-1,-1,12.82975
"2012-08-30 23:45:00",368,0,-1,45,0,0,0,0,-1,-1,12.82975
"2012-08-30 23:46:00",369,0,-1,44,0,0,0,0,-1,-1,12.82443
"2012-08-30 23:47:00",370,0,-1,43,0,0,0,0,-1,-1,12.82455
"2012-08-30 23:48:00",371,0,-1,42,0,0,0,0,-1,-1,12.82465
"2012-08-30 23:49:00",372,0,-1,41,0,0,0,0,-1,-1,12.81925
"2012-08-30 23:50:00",373,0,-1,40,0,0,0,0,-1,-1,12.81931
"2012-08-30 23:51:00",374,0,-1,39,0,0,0,0,-1,-1,12.81931
"2012-08-30 23:52:00",375,0,-1,38,0,0,0,0,-1,-1,12.81936
"2012-08-30 23:53:00",376,0,-1,37,0,0,0,0,-1,-1,12.8194
"2012-08-30 23:54:00",377,0,-1,36,0,0,0,0,-1,-1,12.81396
"2012-08-30 23:55:00",378,0,-1,35,0,0,0,0,-1,-1,12.81399
"2012-08-30 23:56:00",379,0,-1,34,0,0,0,0,-1,-1,12.80854
"2012-08-30 23:57:00",380,0,-1,33,0,0,0,0,-1,-1,12.80854
"2012-08-30 23:58:00",381,0,-1,32,0,0,0,0,-1,-1,12.80855
"2012-08-30 23:59:00",382,0,-1,31,0,0,0,0,-1,-1,12.80857
"2012-08-31 00:00:00",383,0,-1,30,0,0,0,0,-1,-1,12.80858
"2012-08-31 00:01:00",384,0,-1,29,0,0,0,0,-1,-1,12.80311
"2012-08-31 00:02:00",385,0,-1,28,0,0,0,0,-1,-1,12.80312
"2012-08-31 00:03:00",386,0,-1,27,0,0,0,0,-1,-1,12.80312
"2012-08-31 00:04:00",387,0,-1,26,0,0,0,0,-1,-1,12.79765
"2012-08-31 00:05:00",388,0,-1,25,0,0,0,0,-1,-1,12.79766
"2012-08-31 00:06:00",389,0,-1,24,0,0,0,0,-1,-1,12.79766
"2012-08-31 00:07:00",390,0,-1,23,0,0,0,0,-1,-1,12.79766
"2012-08-31 00:08:00",391,0,-1,22,0,0,0,0,-1,-1,12.7922
"2012-08-31 00:09:00",392,0,-1,21,0,0,0,0,-1,-1,12.7922
"2012-08-31 00:10:00",393,0,-1,20,0,0,0,0,-1,-1,12.78673
"2012-08-31 00:11:00",394,0,-1,19,0,0,0,0,-1,-1,12.78673
"2012-08-31 00:12:00",395,0,-1,18,0,0,0,0,-1,-1,12.78673
"2012-08-31 00:13:00",396,0,-1,17,0,0,0,0,-1,-1,12.78673
"2012-08-31 00:14:00",397,0,-1,16,0,0,0,0,-1,-1,12.78673
"2012-08-31 00:15:00",398,0,-1,15,0,0,0,0,-1,-1,12.78673
"2012-08-31 00:16:00",399,0,-1,14,0,0,0,0,-1,-1,12.78126
"2012-08-31 00:17:00",400,0,-1,13,0,0,0,0,-1,-1,12.78126
"2012-08-31 00:18:00",401,0,-1,12,0,0,0,0,-1,-1,12.77579
"2012-08-31 00:19:00",402,0,-1,11,0,0,0,0,-1,-1,12.77622
"2012-08-31 00:20:00",403,0,-1,10,0,0,0,0,-1,-1,12.77656
"2012-08-31 00:21:00",404,0,-1,9,0,0,0,0,-1,-1,12.77656
"2012-08-31 00:22:00",405,0,-1,8,0,0,0,0,-1,-1,12.77137
"2012-08-31 00:23:00",406,0,-1,7,0,0,0,0,-1,-1,12.77158
"2012-08-31 00:24:00",407,0,-1,6,0,0,0,0,-1,-1,12.77176
"2012-08-31 00:25:00",408,0,-1,5,0,0,0,0,-1,-1,12.76643
"2012-08-31 00:26:00",409,0,-1,4,0,0,0,0,-1,-1,12.76654
"2012-08-31 00:27:00",410,0,-1,3,0,0,0,0,-1,-1,12.76654
"2012-08-31 00:28:00",411,0,-1,2,0,0,0,0,-1,-1,12.76663
"2012-08-31 00:29:00",412,0,-1,1,0,0,0,0,-1,-1,12.76671
"2012-08-31 00:30:00",413,0,-1,0,0,0,0,0,-1,0,12.76129
"2012-08-31 00:31:00",414,0,-1,0,0,0,0,0,-1,0,12.76134
"2012-08-31 00:32:00",415,0,-1,0,0,0,0,0,-1,0,12.90365
"2012-08-31 00:33:00",416,0,-1,0,0,0,0,0,-1,0,12.90365
"2012-08-31 00:34:00",417,0,-1,0,0,0,0,0,-1,0,12.94199
"2012-08-31 00:35:00",418,0,-1,0,0,0,0,0,-1,0,12.95296
"2012-08-31 00:36:00",419,0,-1,0,0,0,0,0,-1,0,12.96392
"2012-08-31 00:37:00",420,0,-1,0,0,0,0,0,-1,0,12.96394
"2012-08-31 00:38:00",421,0,-1,0,0,0,0,0,-1,0,12.96942
"2012-08-31 00:39:00",422,0,-1,0,0,0,0,0,-1,0,12.96942
"2012-08-31 00:40:00",423,0,-1,0,0,0,0,0,-1,0,12.96943
